threshold,accuracy,precision,recall,f1_score,far,frr,true_positives,true_negatives,false_positives,false_negatives
0.7000000000000001,0.8137593660922886,0.788790174847127,0.9991938031790302,0.8816122117445762,0.606819866567828,0.000806196820969833,91715,15912,24558,74
0.71,0.8204205384888741,0.7948124653355518,0.9991938031790302,0.885361109368137,0.5850506548060291,0.000806196820969833,91715,16793,23677,74
0.72,0.8275353662132634,0.8013473014652559,0.9991938031790302,0.8894006982156711,0.561798863355572,0.000806196820969833,91715,17734,22736,74
0.73,0.8347031203925631,0.8080457440903605,0.9991829086273954,0.8935067465536558,0.5383493946132938,0.0008170913726045604,91714,18683,21787,75
0.74,0.8421203850021549,0.815096251266464,0.9991720140757607,0.8977959639170464,0.5140845070422535,0.0008279859242392879,91713,19665,20805,76
0.75,0.8497493554313884,0.8224832967131519,0.9991502249724913,0.9022499434316803,0.48910303928836174,0.0008497750275087429,91711,20676,19794,78
0.76,0.8571893028073704,0.8298240057910691,0.9991175413175871,0.9066355583676052,0.46471460340993326,0.0008824586824129253,91708,21663,18807,81
0.77,0.8649770526013353,0.8376492295326045,0.9990848576626828,0.9112725321461931,0.4391895231035335,0.0009151423373171077,91705,22696,17774,84
0.78,0.8728101679280805,0.8456643827405269,0.9990630685594134,0.9159857762151148,0.4135408944897455,0.0009369314405865627,91703,23734,16736,86
0.79,0.8803408463696233,0.8535234602604317,0.9990303849045092,0.920562577173662,0.38885594267358536,0.000969615095490745,91700,24733,15737,89
0.8,0.8881966444627587,0.8618855155559733,0.9989868066979704,0.9253856362177627,0.3630837657524092,0.0010131933020296549,91696,25776,14694,93
0.81,0.8965287806500881,0.8709205577295696,0.9989650175947009,0.9305587269691942,0.33580429948109713,0.0010349824052991099,91694,26880,13590,95
0.8200000000000001,0.9050499398906691,0.8803806158602744,0.9989105448365273,0.935907643312102,0.30783296268841115,0.0010894551634727473,91689,28012,12458,100
0.8300000000000001,0.9137450003402415,0.8902482837639702,0.9988560720783536,0.9414301556659959,0.27929330368173955,0.0011439279216463847,91684,29167,11303,105
0.84,0.9225232309332446,0.9004537775507798,0.9987798102169105,0.947071554382467,0.25043241907585867,0.001220189783089477,91677,30335,10135,112
0.85,0.9309007326533544,0.910426267281106,0.9986926538038327,0.9525190022704011,0.22285643686681492,0.0013073461961672966,91669,31451,9019,120
0.86,0.9392404297628139,0.9205945864510621,0.9985837082874854,0.9580045360954043,0.1953545836422041,0.0014162917125145715,91659,32564,7906,130
0.87,0.9476784188599642,0.9312054791736528,0.9983658172547909,0.9636168624275755,0.1672844082036076,0.0016341827452091208,91639,33700,6770,150
0.88,0.9555720215637499,0.94162580061479,0.9978428787763239,0.9689195908134013,0.14030145787002718,0.0021571212236760396,91591,34792,5678,198
0.89,0.9631631873823332,0.9519817786606484,0.9972218893331445,0.9740768330318186,0.11408450704225352,0.0027781106668555056,91534,35853,4617,255
0.9,0.9700889920534709,0.9623032791199537,0.9959145431369772,0.9788204557135516,0.0884852977514208,0.004085456863022802,91414,36889,3581,375
0.91,0.9760923642247409,0.9722491607609101,0.9939208401878221,0.9829655647976555,0.06434395848776872,0.00607915981217793,91231,37866,2604,558
0.92,0.9802735541626657,0.9811385903578057,0.9906197910424996,0.9858563955221857,0.0431924882629108,0.009380208957500354,90928,38722,1748,861
0.93,0.9808935497773309,0.9881225802217993,0.9843009510943577,0.9862080633981543,0.026834692364714603,0.015699048905642287,90348,39384,1086,1441
0.9400000000000001,0.9765611413968047,0.9934019471488178,0.9726873590517382,0.9829355293288708,0.014652829256239189,0.027312640948261774,89282,39877,593,2507
0.9500000000000001,0.9631253827716828,0.9970148912322437,0.949710749654098,0.9727880908142371,0.006449221645663455,0.050289250345902016,87173,40209,261,4616
0.96,0.9291314768749197,0.9990795465555663,0.8987133534519387,0.9462424795104298,0.0018779342723004694,0.10128664654806131,82492,40394,76,9297
0.97,0.8483657066815868,0.99980491067696,0.7816622906884267,0.8773776986994882,0.0003459352606869286,0.21833770931157329,71748,40456,14,20041
0.98,0.6673118653550987,1.0,0.5206288335203565,0.6847546515543391,0.0,0.4793711664796435,47788,40470,0,44001
0.99,0.38801140187057215,1.0,0.11818409613352363,0.21138575757280512,0.0,0.8818159038664763,10848,40470,0,80941
1.0,0.3059905186036489,0.0,0.0,0.0,0.0,1.0,0,40470,0,91789
