accent,gender,speaker,num_comparisons,mean_similarity,median_similarity,min_similarity,max_similarity,std_similarity
eyk_001,female,edc001,300,0.9882902153333029,0.9891152083873749,0.9666622281074524,0.9966752529144287,0.004880107713893114
eyk_001,female,hxc001,231,0.982416532772444,0.9842244982719421,0.9476015567779541,0.9967126846313477,0.007953590890998551
eyk_001,female,jat001,435,0.9890531324792182,0.9892972707748413,0.9745697379112244,0.9969702959060669,0.004203101389277102
eyk_001,female,jfj001,2415,0.9768261356136567,0.9796722531318665,0.9053070545196533,0.9970137476921082,0.012559074640037065
eyk_001,female,sjf001,171,0.9870051169953151,0.9880239963531494,0.9624922275543213,0.9968805909156799,0.006072384104410928
eyk_001,female,sjt001,1485,0.9756819883179584,0.9777856469154358,0.9272711873054504,0.9963218569755554,0.01078710636853867
eyk_001,female,svj001,378,0.9752962474154416,0.9782596826553345,0.9126587510108948,0.9956003427505493,0.012908127448647637
eyk_001,female,sxc002,406,0.9815240682933131,0.9824772775173187,0.9533331394195557,0.9969952702522278,0.007245387451035937
eyk_001,female,tlr001,136,0.9850801452994347,0.9861848652362823,0.9666996598243713,0.9968883395195007,0.0063877794741920855
eyk_001,female,wxr003,351,0.9791681924436846,0.981661319732666,0.922741711139679,0.995920717716217,0.01213885779117168
eyk_001,female,yjs001,528,0.9778195131908763,0.979121208190918,0.9390864968299866,0.996137797832489,0.008529182596787735
eyk_001,male,ajt001,1128,0.9707926049405802,0.9756695330142975,0.8855575919151306,0.9960727095603943,0.016693238373776904
eyk_001,male,axc001,351,0.9823764263734519,0.9835595488548279,0.9555603861808777,0.9965887665748596,0.007178510549254766
eyk_001,male,ccw001,351,0.9791670421249846,0.9806421399116516,0.9110081791877747,0.9969948530197144,0.011533293185914485
eyk_001,male,dps001,2080,0.9701709278787558,0.974863737821579,0.8397249579429626,0.9965677857398987,0.018324909947853008
eyk_001,male,dwc001,465,0.9654537106073031,0.9732387065887451,0.8301553130149841,0.996433675289154,0.02632811492552543
eyk_001,male,jlf001,171,0.9812362845878155,0.9837155938148499,0.9376345276832581,0.995826005935669,0.009466105350094544
eyk_001,male,jmd001,190,0.9815443487543809,0.9837577044963837,0.9406557083129883,0.9971645474433899,0.009483582959068737
eyk_001,male,jxp001,300,0.9808407785495122,0.9850792586803436,0.9051461219787598,0.9960839152336121,0.014871920183366832
eyk_001,male,ljk001,210,0.9772053874674298,0.978458821773529,0.9384748935699463,0.9944061636924744,0.008726199747195329
